Date  AveragePrice  type  region
12/27/2015  1.33  conventional  Albany
12/20/2015  1.35  conventional  Albany
12/13/2015  0.93  conventional  Albany
12/6/2015  1.08  conventional  Albany
11/29/2015  1.28  conventional  Albany
11/22/2015  1.26  conventional  Albany
11/15/2015  0.99  conventional  Albany
11/8/2015  0.98  conventional  Albany
11/1/2015  1.02  conventional  Albany
10/25/2015  1.07  conventional  Albany
10/18/2015  1.12  conventional  Albany
10/11/2015  1.28  conventional  Albany
10/4/2015  1.31  conventional  Albany
9/27/2015  0.99  conventional  Albany
9/20/2015  1.33  conventional  Albany
9/13/2015  1.28  conventional  Albany
9/6/2015  1.11  conventional  Albany
8/30/2015  1.07  conventional  Albany
8/23/2015  1.34  conventional  Albany
8/16/2015  1.33  conventional  Albany
8/9/2015  1.12  conventional  Albany
8/2/2015  1.45  conventional  Albany
7/26/2015  1.11  conventional  Albany
7/19/2015  1.26  conventional  Albany
7/12/2015  1.05  conventional  Albany
7/5/2015  1.35  conventional  Albany
6/28/2015  1.37  conventional  Albany
6/21/2015  1.27  conventional  Albany
6/14/2015  1.32  conventional  Albany
6/7/2015  1.07  conventional  Albany
5/31/2015  1.23  conventional  Albany
5/24/2015  1.19  conventional  Albany
5/17/2015  1.43  conventional  Albany
5/10/2015  1.26  conventional  Albany
5/3/2015  1.2  conventional  Albany
4/26/2015  1.22  conventional  Albany
4/19/2015  1.19  conventional  Albany
4/12/2015  1.13  conventional  Albany
4/5/2015  1.16  conventional  Albany
3/29/2015  1.02  conventional  Albany
3/22/2015  1.12  conventional  Albany
3/15/2015  1.11  conventional  Albany
3/8/2015  1.07  conventional  Albany
3/1/2015  0.99  conventional  Albany
2/22/2015  1.07  conventional  Albany
2/15/2015  1.06  conventional  Albany
2/8/2015  0.99  conventional  Albany
2/1/2015  0.99  conventional  Albany
1/25/2015  1.06  conventional  Albany
1/18/2015  1.17  conventional  Albany
1/11/2015  1.24  conventional  Albany
1/4/2015  1.22  conventional  Albany
12/27/2015  0.99  conventional  Atlanta
12/20/2015  1.08  conventional  Atlanta
12/13/2015  0.96  conventional  Atlanta
12/6/2015  1.07  conventional  Atlanta
11/29/2015  0.99  conventional  Atlanta
11/22/2015  1  conventional  Atlanta
11/15/2015  1.13  conventional  Atlanta
11/8/2015  1.12  conventional  Atlanta
11/1/2015  0.99  conventional  Atlanta
10/25/2015  1.09  conventional  Atlanta
10/18/2015  1.09  conventional  Atlanta
10/11/2015  0.95  conventional  Atlanta
10/4/2015  0.96  conventional  Atlanta
9/27/2015  1.07  conventional  Atlanta
9/20/2015  0.93  conventional  Atlanta
9/13/2015  1.07  conventional  Atlanta
9/6/2015  0.97  conventional  Atlanta
8/30/2015  1.15  conventional  Atlanta
8/23/2015  1.12  conventional  Atlanta
8/16/2015  1.09  conventional  Atlanta
8/9/2015  1.01  conventional  Atlanta
8/2/2015  1.15  conventional  Atlanta
7/26/2015  1.08  conventional  Atlanta
7/19/2015  0.97  conventional  Atlanta
7/12/2015  1.14  conventional  Atlanta
7/5/2015  1.01  conventional  Atlanta
6/28/2015  1.13  conventional  Atlanta
6/21/2015  0.99  conventional  Atlanta
6/14/2015  1.1  conventional  Atlanta
6/7/2015  0.99  conventional  Atlanta
5/31/2015  1.1  conventional  Atlanta
5/24/2015  0.96  conventional  Atlanta
5/17/2015  1.11  conventional  Atlanta
5/10/2015  1.1  conventional  Atlanta
5/3/2015  1  conventional  Atlanta
4/26/2015  1.12  conventional  Atlanta
4/19/2015  1.12  conventional  Atlanta
4/12/2015  0.99  conventional  Atlanta
4/5/2015  1.04  conventional  Atlanta
3/29/2015  1.11  conventional  Atlanta
3/22/2015  1  conventional  Atlanta
3/15/2015  1.12  conventional  Atlanta
3/8/2015  1.1  conventional  Atlanta
3/1/2015  0.99  conventional  Atlanta
2/22/2015  1.1  conventional  Atlanta
2/15/2015  1.06  conventional  Atlanta
2/8/2015  1.03  conventional  Atlanta
2/1/2015  0.96  conventional  Atlanta
1/25/2015  1.1  conventional  Atlanta
1/18/2015  1.11  conventional  Atlanta
1/11/2015  1.11  conventional  Atlanta
1/4/2015  1  conventional  Atlanta
12/27/2015  1.17  conventional  BaltimoreWashington
12/20/2015  1.11  conventional  BaltimoreWashington
12/13/2015  1.15  conventional  BaltimoreWashington
12/6/2015  1.04  conventional  BaltimoreWashington
11/29/2015  1.16  conventional  BaltimoreWashington
11/22/2015  1.12  conventional  BaltimoreWashington
11/15/2015  1.04  conventional  BaltimoreWashington
11/8/2015  1.05  conventional  BaltimoreWashington
11/1/2015  1.12  conventional  BaltimoreWashington
10/25/2015  1.19  conventional  BaltimoreWashington
10/18/2015  0.99  conventional  BaltimoreWashington
10/11/2015  1.24  conventional  BaltimoreWashington
10/4/2015  1.28  conventional  BaltimoreWashington
9/27/2015  1.19  conventional  BaltimoreWashington
9/20/2015  1.17  conventional  BaltimoreWashington
9/13/2015  1.09  conventional  BaltimoreWashington
9/6/2015  1.18  conventional  BaltimoreWashington
8/30/2015  1.24  conventional  BaltimoreWashington
8/23/2015  1.16  conventional  BaltimoreWashington
8/16/2015  1.14  conventional  BaltimoreWashington
8/9/2015  1.16  conventional  BaltimoreWashington
8/2/2015  1.17  conventional  BaltimoreWashington
7/26/2015  1.2  conventional  BaltimoreWashington
7/19/2015  1.18  conventional  BaltimoreWashington
7/12/2015  1.1  conventional  BaltimoreWashington
7/5/2015  1.16  conventional  BaltimoreWashington
6/28/2015  1.15  conventional  BaltimoreWashington
6/21/2015  1.16  conventional  BaltimoreWashington
6/14/2015  1.09  conventional  BaltimoreWashington
6/7/2015  1.26  conventional  BaltimoreWashington
5/31/2015  1.19  conventional  BaltimoreWashington
